Date,Open,High,Low,Close,Adj Close,Volume
2023-06-13,25902.94,26376.35,25728.37,25918.73,25918.73,14143474486.00
2023-06-14,25920.26,26041.80,24902.15,25124.68,25124.68,14265717766.00
2023-06-15,25121.67,25735.31,24797.17,25576.39,25576.39,15837384409.00
2023-06-16,25575.28,26463.17,25245.36,26327.46,26327.46,16324646965.00
2023-06-17,26328.68,26769.39,26174.49,26510.68,26510.68,11090276850.00
2023-06-18,26510.46,26675.93,26325.89,26336.21,26336.21,9565695129.00
2023-06-19,26335.44,26984.61,26312.83,26851.03,26851.03,12826986222.00
2023-06-20,26841.66,28388.97,26668.79,28327.49,28327.49,22211859147.00
2023-06-21,28311.31,30737.33,28283.41,30027.30,30027.30,33346760979.00
2023-06-22,29995.94,30496.00,29679.16,29912.28,29912.28,20653160491.00
2023-06-23,29896.38,31389.54,29845.21,30695.47,30695.47,24115570085.00
2023-06-24,30708.74,30804.15,30290.15,30548.70,30548.70,12147822496.00
2023-06-25,30545.15,31041.27,30327.94,30480.26,30480.26,12703464114.00
2023-06-26,30480.52,30636.03,29955.74,30271.13,30271.13,16493186997.00
2023-06-27,30274.32,31006.79,30236.65,30688.16,30688.16,16428827944.00
2023-06-28,30696.56,30703.28,29921.82,30086.25,30086.25,14571500779.00
2023-06-29,30086.19,30796.25,30057.20,30445.35,30445.35,13180860821.00
2023-06-30,30441.35,31256.86,29600.28,30477.25,30477.25,26387306197.00
2023-07-01,30471.85,30641.29,30328.87,30590.08,30590.08,9086606733.00
2023-07-02,30587.27,30766.14,30264.02,30620.77,30620.77,10533418042.00
2023-07-03,30624.52,31375.61,30586.51,31156.44,31156.44,15271884873.00
2023-07-04,31156.87,31325.20,30659.36,30777.58,30777.58,12810828427.00
2023-07-05,30778.72,30877.33,30225.61,30514.17,30514.17,12481622280.00
2023-07-06,30507.15,31460.05,29892.23,29909.34,29909.34,21129219509.00
2023-07-07,29908.00,30434.64,29777.29,30342.27,30342.27,13384770155.00
2023-07-08,30346.92,30374.44,30080.16,30292.54,30292.54,7509378699.00
2023-07-09,30291.61,30427.59,30085.59,30171.23,30171.23,7903327692.00
2023-07-10,30172.42,31026.08,29985.39,30414.47,30414.47,14828209155.00
2023-07-11,30417.63,30788.31,30358.10,30620.95,30620.95,12151839152.00
2023-07-12,30622.25,30959.96,30228.84,30391.65,30391.65,14805659717.00
2023-07-13,30387.49,31814.52,30268.35,31476.05,31476.05,23686079548.00
2023-07-14,31474.72,31582.25,29966.39,30334.07,30334.07,20917902660.00
2023-07-15,30331.78,30407.78,30263.46,30295.81,30295.81,8011667756.00
